epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5343,0.7483,2.55622,1.07618,0.00593,1,0.54619,0.47236,0.40095,2.53954,0.90784,0.00016,0.00016,0.00016
2,31.4922,0.35077,1.41268,0.85224,0.98335,0.875,0.92747,0.87932,0.32488,1.70484,0.81455,0.000335793,0.000335793,0.000335793
3,46.4123,0.36779,0.93874,0.84278,1,0.87311,0.98346,0.94315,0.33604,1.5517,0.81058,0.00050713,0.00050713,0.00050713
4,59.6213,0.39323,0.86621,0.84998,0.99245,0.9375,0.99147,0.91991,0.37598,0.9299,0.8229,0.000674013,0.000674013,0.000674013
5,72.4091,0.35688,0.7851,0.83999,0.99753,0.9375,0.98289,0.94827,0.27926,0.81933,0.74388,0.00083644,0.00083644,0.00083644
6,86.146,0.35078,0.74078,0.83453,0.92449,0.9375,0.96003,0.90871,0.3892,1.08714,0.77329,0.000994413,0.000994413,0.000994413
7,102.617,0.35266,0.71297,0.84099,0.99625,0.9375,0.97082,0.86452,0.48077,1.06727,0.82273,0.00114793,0.00114793,0.00114793
8,116.881,0.34568,0.69325,0.84443,0.96321,0.9375,0.96518,0.87015,0.48322,0.92229,0.84325,0.00129699,0.00129699,0.00129699
9,131.454,0.36628,0.7095,0.84802,0.99422,0.9375,0.98039,0.94604,0.37638,0.86766,0.85097,0.0014416,0.0014416,0.0014416
10,147.029,0.36339,0.66821,0.83997,0.93262,0.9375,0.98068,0.93803,0.38317,1.01407,0.8119,0.00158175,0.00158175,0.00158175
11,164.106,0.38143,0.66434,0.86811,0.93935,0.96803,0.98985,0.9095,0.46876,1.04157,0.81705,0.00171745,0.00171745,0.00171745
12,181.725,0.34501,0.63436,0.84528,0.9889,0.9375,0.98521,0.91853,0.51054,0.85046,0.83505,0.00172775,0.00172775,0.00172775
13,207.471,0.36583,0.65141,0.85979,0.97467,0.9375,0.96816,0.85878,0.74313,0.98906,1.008,0.001703,0.001703,0.001703
14,232.484,0.35238,0.64711,0.86289,1,0.89868,0.96935,0.89877,0.4843,1.00484,0.80078,0.00167825,0.00167825,0.00167825
15,255.821,0.37778,0.62895,0.83398,1,0.86312,0.95594,0.92052,0.38318,1.0791,0.77388,0.0016535,0.0016535,0.0016535
16,278.184,0.35019,0.59022,0.84054,0.96773,0.93713,0.99055,0.93794,0.32095,0.77641,0.77295,0.00162875,0.00162875,0.00162875
17,303.79,0.34979,0.59138,0.84267,0.94111,0.9989,0.98618,0.92965,0.33345,0.84336,0.7741,0.001604,0.001604,0.001604
18,327.265,0.34252,0.58488,0.85821,0.91217,1,0.97611,0.91531,0.30058,0.8154,0.75596,0.00157925,0.00157925,0.00157925
19,352.256,0.33582,0.56558,0.85049,0.97289,1,0.995,0.93117,0.33632,0.87224,0.75681,0.0015545,0.0015545,0.0015545
20,378.924,0.33304,0.57907,0.85849,0.91421,1,0.99243,0.91226,0.32091,0.77883,0.76218,0.00152975,0.00152975,0.00152975
21,405.502,0.31326,0.52779,0.84259,0.95455,1,0.99227,0.92368,0.34901,0.71223,0.77771,0.001505,0.001505,0.001505
22,430.07,0.32608,0.53624,0.85002,0.9617,1,0.99136,0.92362,0.3632,0.82134,0.79603,0.00148025,0.00148025,0.00148025
23,456.918,0.29331,0.50807,0.83813,0.99528,0.9375,0.99147,0.91045,0.33648,0.9875,0.81008,0.0014555,0.0014555,0.0014555
24,499.74,0.2964,0.52012,0.84461,0.99703,1,0.995,0.93554,0.34785,0.70471,0.86182,0.00143075,0.00143075,0.00143075
25,530.307,0.29484,0.49442,0.82555,0.9976,1,0.995,0.93577,0.35414,0.61515,0.84556,0.001406,0.001406,0.001406
26,558.142,0.27739,0.47762,0.82393,0.99748,1,0.995,0.94211,0.3644,0.56995,0.84367,0.00138125,0.00138125,0.00138125
27,583.335,0.27414,0.47928,0.83312,0.99779,1,0.995,0.96517,0.29087,0.57147,0.78548,0.0013565,0.0013565,0.0013565
28,609.693,0.27967,0.46921,0.81303,0.9959,1,0.995,0.97395,0.28731,0.57743,0.7654,0.00133175,0.00133175,0.00133175
29,636.348,0.30216,0.49386,0.85202,0.99336,1,0.995,0.95725,0.28137,0.60706,0.76839,0.001307,0.001307,0.001307
30,661.844,0.27054,0.47165,0.83542,0.99333,1,0.995,0.95774,0.30198,0.57851,0.78606,0.00128225,0.00128225,0.00128225
31,686.519,0.27901,0.45295,0.84928,0.99003,1,0.995,0.96093,0.31552,0.54941,0.7985,0.0012575,0.0012575,0.0012575
32,710.826,0.28059,0.4598,0.83684,0.99178,1,0.995,0.95652,0.30508,0.53823,0.80786,0.00123275,0.00123275,0.00123275
33,756.982,0.25818,0.46937,0.84875,0.99556,1,0.995,0.97011,0.26815,0.53435,0.79315,0.001208,0.001208,0.001208
34,869.651,0.25671,0.43117,0.82614,0.99665,1,0.995,0.95568,0.29473,0.55062,0.80739,0.00118325,0.00118325,0.00118325
35,962.557,0.27003,0.43428,0.81883,0.96745,1,0.99136,0.95902,0.28962,0.54587,0.81222,0.0011585,0.0011585,0.0011585
