epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1376,0.21165,0.46972,0.81062,1,0.96217,0.995,0.973,0.26048,0.67237,0.80965,0.0004,0.0004,0.0004
2,21.8658,0.26682,0.51036,0.81073,1,0.87213,0.9312,0.89744,0.37451,0.85558,0.93668,0.000799705,0.000799705,0.000799705
3,33.1729,0.26301,0.49231,0.83152,1,0.87068,0.98611,0.92069,0.37037,0.7631,0.89273,0.00117862,0.00117862,0.00117862
4,46.955,0.2986,0.4957,0.85236,1,0.84069,0.95203,0.91686,0.34598,0.68997,0.87939,0.00153675,0.00153675,0.00153675
5,60.2005,0.30905,0.55786,0.84811,1,0.76295,0.91115,0.85351,0.44236,0.84381,0.87966,0.001802,0.001802,0.001802
6,73.0086,0.34922,0.5627,0.86076,0.99586,0.84375,0.9334,0.86391,0.49007,0.83387,0.91626,0.0017525,0.0017525,0.0017525
7,85.5771,0.31144,1.24275,0.79807,0.99598,0.84375,0.91665,0.85811,0.49043,0.83781,0.92319,0.001703,0.001703,0.001703
8,97.8885,0.35216,0.64869,0.85041,0.99384,0.9375,0.99147,0.92071,0.35744,0.64453,0.82504,0.0016535,0.0016535,0.0016535
9,109.965,0.32605,0.62859,0.85225,0.99838,0.9375,0.99149,0.93053,0.32538,0.59278,0.83971,0.001604,0.001604,0.001604
10,121.894,0.31801,0.5361,0.84254,0.9855,0.96875,0.98786,0.9047,0.3817,0.6518,0.86442,0.0015545,0.0015545,0.0015545
11,134.33,0.31821,0.58889,0.85074,0.96952,0.99418,0.99318,0.96342,0.29381,0.46393,0.79521,0.001505,0.001505,0.001505
12,149.915,0.32925,0.56977,0.8573,0.96886,1,0.99409,0.97808,0.29006,0.52625,0.81161,0.0014555,0.0014555,0.0014555
13,163.416,0.32614,0.51528,0.84651,1,0.91577,0.9861,0.96055,0.36289,0.81126,0.88469,0.001406,0.001406,0.001406
14,177.728,0.31561,0.48545,0.83482,1,0.87352,0.94903,0.88275,0.48597,1.00365,0.87915,0.0013565,0.0013565,0.0013565
15,190.992,0.31717,0.54456,0.8465,1,0.87296,0.94232,0.91341,0.36393,0.8826,0.86378,0.001307,0.001307,0.001307
16,202.41,0.28727,0.50837,0.84287,0.99747,0.84375,0.98118,0.92331,0.34448,0.84813,0.87092,0.0012575,0.0012575,0.0012575
17,212.371,0.29764,0.48165,0.84364,1,0.93208,0.995,0.95205,0.41098,0.78316,0.9065,0.001208,0.001208,0.001208
18,222.596,0.29476,0.48352,0.83034,1,0.96162,0.995,0.94134,0.32411,0.66506,0.86241,0.0011585,0.0011585,0.0011585
